INFO  - 2013-08-01 17:06:08.560; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/poi-3.9.jar' to classloader
INFO  - 2013-08-01 17:06:08.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/pdfbox-1.8.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/netcdf-4.2-min.jar' to classloader
INFO  - 2013-08-01 17:06:08.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/metadata-extractor-2.6.2.jar' to classloader
INFO  - 2013-08-01 17:06:08.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2013-08-01 17:06:08.561; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/jempbox-1.8.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/jdom-1.0.jar' to classloader
INFO  - 2013-08-01 17:06:08.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2013-08-01 17:06:08.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/icu4j-49.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/fontbox-1.8.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.562; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.563; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/commons-compress-1.4.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.563; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2013-08-01 17:06:08.563; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2013-08-01 17:06:08.563; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
INFO  - 2013-08-01 17:06:08.564; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2013-08-01 17:06:08.564; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2013-08-01 17:06:08.565; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/dist/solr-cell-4.4.0.jar' to classloader
INFO  - 2013-08-01 17:06:08.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/clustering/lib/simple-xml-2.6.4.jar' to classloader
INFO  - 2013-08-01 17:06:08.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2013-08-01 17:06:08.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2013-08-01 17:06:08.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/clustering/lib/jackson-mapper-asl-1.7.4.jar' to classloader
INFO  - 2013-08-01 17:06:08.566; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/clustering/lib/jackson-core-asl-1.7.4.jar' to classloader
INFO  - 2013-08-01 17:06:08.567; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/clustering/lib/hppc-0.4.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.567; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/clustering/lib/carrot2-mini-3.6.2.jar' to classloader
INFO  - 2013-08-01 17:06:08.567; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/clustering/lib/attributes-binder-1.0.1.jar' to classloader
INFO  - 2013-08-01 17:06:08.568; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/dist/solr-clustering-4.4.0.jar' to classloader
INFO  - 2013-08-01 17:06:08.568; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2013-08-01 17:06:08.569; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2013-08-01 17:06:08.569; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/dist/solr-langid-4.4.0.jar' to classloader
INFO  - 2013-08-01 17:06:08.570; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2013-08-01 17:06:08.570; org.apache.solr.core.SolrResourceLoader; Adding 'file:/tmp/solr-4.4.0/contrib/velocity/lib/velocity-1.7.jar' to classloader
